"","Instalacao","PesoSeason","Pattern"
"1",2764,3.34001336005344e-05,"DMA1_pat"
"2",2766,0.000707338715001512,"DMA1_pat"
"3",2951,0.000112323096900163,"DMA1_pat"
"4",3579,0.000727132175155914,"DMA1_pat"
"5",3914,0.000326330571949501,"DMA1_pat"
"6",4068,0.00108067609399768,"DMA1_pat"
"7",4168,0.000438653668849664,"DMA1_pat"
"8",4169,0.00228431400364651,"DMA1_pat"
"9",4171,0.00122343136980323,"DMA1_pat"
"10",4193,0,"DMA1_pat"
"11",4194,0.000752861544700606,"DMA1_pat"
"12",4206,0.00269575432560391,"DMA1_pat"
"13",4207,0.000863700664253197,"DMA1_pat"
"14",4208,0.000840939249403649,"DMA1_pat"
"15",4211,0.000359730705550036,"DMA1_pat"
"16",4213,0.00100175313069805,"DMA1_pat"
"17",4214,0.000866668618948341,"DMA1_pat"
"18",4215,0,"DMA1_pat"
"19",4252,0.00262276727169457,"DMA1_pat"
"20",4275,0.00631557191863583,"DMA1_pat"
"21",4302,0.0013706385776515,"DMA1_pat"
"22",4327,0.000268685046151848,"DMA1_pat"
"23",4328,0.000989630434599491,"DMA1_pat"
"24",4333,0.000438653668849664,"DMA1_pat"
"25",4671,0.000998785176002906,"DMA1_pat"
"26",4672,0.00139488396984862,"DMA1_pat"
"27",4680,0.00174100800195252,"DMA1_pat"
"28",4826,0,"DMA1_pat"
"29",5023,0.000101684378149176,"DMA1_pat"
"30",5025,0.000863700664253197,"DMA1_pat"
"31",5325,0.000318659807893659,"DMA1_pat"
"32",5745,0.000740738848602046,"DMA1_pat"
"33",5831,0.000707338715001512,"DMA1_pat"
"34",6037,0.00124916073934792,"DMA1_pat"
"35",6074,0.000428014950098677,"DMA1_pat"
"36",6245,0.00132808370264755,"DMA1_pat"
"37",6502,0,"DMA1_pat"
"38",6731,0.000629899729049456,"DMA1_pat"
"39",6843,0,"DMA1_pat"
"40",7090,0.00227837809425622,"DMA1_pat"
"41",7204,0.00219326834424832,"DMA1_pat"
"42",7271,0.00039313083915057,"DMA1_pat"
"43",7317,0.000124445792998723,"DMA1_pat"
"44",7339,0.00115366314790702,"DMA1_pat"
"45",7505,0.000371853401648595,"DMA1_pat"
"46",7567,2.2761414849547e-05,"DMA1_pat"
"47",7577,0.00156633656989401,"DMA1_pat"
"48",7649,0.00194140880355573,"DMA1_pat"
"49",7650,0.0011445084065036,"DMA1_pat"
"50",7708,0.00222518450050128,"DMA1_pat"
"51",7922,0.00105643070180056,"DMA1_pat"
"52",7944,0.00027016902349942,"DMA1_pat"
"53",8092,8.95616820506158e-05,"DMA1_pat"
"54",8165,0.00106706942055155,"DMA1_pat"
"55",8166,0.00287017488034444,"DMA1_pat"
"56",8397,0.00157549131129743,"DMA1_pat"
"57",8409,0.000212523497701766,"DMA1_pat"
"58",8410,0.000133600534402138,"DMA1_pat"
"59",8827,0.000684577300151965,"DMA1_pat"
"60",9148,0,"DMA1_pat"
"61",9507,0.000585860876697934,"DMA1_pat"
"62",9510,0.00181844698790458,"DMA1_pat"
"63",9943,0.000807539115803115,"DMA1_pat"
"64",10038,0.00136296781359566,"DMA1_pat"
"65",10248,0.000136568489097282,"DMA1_pat"
"66",10249,0.000124445792998723,"DMA1_pat"
"67",10250,0.00178801480899919,"DMA1_pat"
"68",10251,0.000727132175155914,"DMA1_pat"
"69",10252,0.000145723230500697,"DMA1_pat"
"70",10253,0.000472053802450199,"DMA1_pat"
"71",10254,4.55228296990941e-05,"DMA1_pat"
"72",10256,0.00112323096900163,"DMA1_pat"
"73",10258,0.000763500263451593,"DMA1_pat"
"74",10259,0.0010688042752171,"DMA1_pat"
"75",10262,0.00236620492164128,"DMA1_pat"
"76",10263,0.00200202228404853,"DMA1_pat"
"77",10264,0.00107770813930253,"DMA1_pat"
"78",10265,0.000584376899350361,"DMA1_pat"
"79",10266,0.00215986821064779,"DMA1_pat"
"80",10267,0.00150423911205364,"DMA1_pat"
"81",10268,0.00123703804324936,"DMA1_pat"
"82",10269,6.82842445486411e-05,"DMA1_pat"
"83",10270,3.34001336005344e-05,"DMA1_pat"
"84",10271,0.000100200400801603,"DMA1_pat"
"85",10272,0.00012296181565115,"DMA1_pat"
"86",10273,0.00100175313069805,"DMA1_pat"
"87",10274,2.2761414849547e-05,"DMA1_pat"
"88",10275,0.00200053830670096,"DMA1_pat"
"89",10276,0.00405575418450442,"DMA1_pat"
"90",10277,0.000167000668002672,"DMA1_pat"
"91",10278,0,"DMA1_pat"
"92",10280,0,"DMA1_pat"
"93",10281,0.00285211627485559,"DMA1_pat"
"94",10282,0.000719461411100072,"DMA1_pat"
"95",10283,0.00137509050969422,"DMA1_pat"
"96",10284,0.00100026915335048,"DMA1_pat"
"97",10285,7.89229632996285e-05,"DMA1_pat"
"98",10286,0,"DMA1_pat"
"99",10287,0.000382492120399583,"DMA1_pat"
"100",10288,0.00113535366510019,"DMA1_pat"
"101",10289,0,"DMA1_pat"
"102",10292,0.00165589825194463,"DMA1_pat"
"103",10294,8.95616820506158e-05,"DMA1_pat"
"104",10308,0.000247407608649873,"DMA1_pat"
"105",10309,0.00106558544320398,"DMA1_pat"
"106",10310,0.000595015618101349,"DMA1_pat"
"107",10311,0.00156188463785129,"DMA1_pat"
"108",10312,0.00262895405840284,"DMA1_pat"
"109",10316,0.00345158382499966,"DMA1_pat"
"110",10317,0.00225710065675425,"DMA1_pat"
"111",10318,2.2761414849547e-05,"DMA1_pat"
"112",10319,0.0014161614073506,"DMA1_pat"
"113",10320,0.000927532976759121,"DMA1_pat"
"114",10321,0.00131596100654899,"DMA1_pat"
"115",10911,0.00292138274211585,"DMA1_pat"
"116",14144,0.000303569157099954,"DMA1_pat"
"117",14147,0.00184591121211483,"DMA1_pat"
"118",14148,3.34001336005344e-05,"DMA1_pat"
"119",14149,0.00012296181565115,"DMA1_pat"
"120",14150,0.00244983069430161,"DMA1_pat"
"121",14151,0.000730100129851059,"DMA1_pat"
"122",14152,0.00482048754798561,"DMA1_pat"
"123",14153,0.00555378522328948,"DMA1_pat"
"124",14154,0.000989630434599491,"DMA1_pat"
"125",14155,0.000280807742250407,"DMA1_pat"
"126",14156,4.55228296990941e-05,"DMA1_pat"
"127",14157,0.00243919197555062,"DMA1_pat"
"128",14158,0,"DMA1_pat"
"129",14159,0.00159825272614697,"DMA1_pat"
"130",14160,0.000224646193800326,"DMA1_pat"
"131",14162,0.000267201068804275,"DMA1_pat"
"132",14163,0.00053440213760855,"DMA1_pat"
"133",14165,9.10456593981882e-05,"DMA1_pat"
"134",14167,0.00104702508307916,"DMA1_pat"
"135",14170,2.2761414849547e-05,"DMA1_pat"
"136",14171,0.000233800935203741,"DMA1_pat"
"137",14172,0.00328013122495427,"DMA1_pat"
"138",14174,0.00124767676200035,"DMA1_pat"
"139",14175,0.00133723844405097,"DMA1_pat"
"140",14176,9.10456593981882e-05,"DMA1_pat"
"141",14177,0.00052821535090028,"DMA1_pat"
"142",14178,0.000494815217299746,"DMA1_pat"
"143",14179,0.00092134619005085,"DMA1_pat"
"144",14182,0.000182091318796376,"DMA1_pat"
"145",14183,0.000303569157099954,"DMA1_pat"
"146",14184,0.000145723230500697,"DMA1_pat"
"147",14186,2.2761414849547e-05,"DMA1_pat"
"148",14187,0.00128404485029603,"DMA1_pat"
"149",14188,0,"DMA1_pat"
"150",14189,0.000526731373552708,"DMA1_pat"
"151",14190,0.00101090787210147,"DMA1_pat"
"152",14191,0.000877307337699328,"DMA1_pat"
