"","Instalacao","PesoSeason","Pattern"
"133",14162,0.000864491053332177,"DMA1_pat"
"134",14163,0.000747296579992607,"DMA1_pat"
"135",14165,0.000186032646403355,"DMA1_pat"
"136",14167,0.000114017667287699,"DMA1_pat"
"137",14170,0,"DMA1_pat"
"138",14171,4.8009986077104e-05,"DMA1_pat"
"139",14172,0.00222152503280656,"DMA1_pat"
"140",14174,0.001655195395726,"DMA1_pat"
"141",14175,0.00165000884774982,"DMA1_pat"
"142",14176,0.000132408086895877,"DMA1_pat"
"143",14177,0.00029247269243882,"DMA1_pat"
"144",14178,0.00066218021916292,"DMA1_pat"
"145",14179,0.00114546628532271,"DMA1_pat"
"146",14182,0.000484027105517909,"DMA1_pat"
"147",14183,0.000458427015998917,"DMA1_pat"
"148",14184,6.6007681210595e-05,"DMA1_pat"
"149",14186,0,"DMA1_pat"
"150",14187,0.000677637947725073,"DMA1_pat"
"151",14188,0,"DMA1_pat"
"152",14189,0.000630550626943239,"DMA1_pat"
"153",14190,0.000973138131750622,"DMA1_pat"
"154",14191,0.000147264560783447,"DMA1_pat"
"155",14192,0.00142612565998221,"DMA1_pat"
"156",14193,0.000977455532634539,"DMA1_pat"
"157",14194,0,"DMA1_pat"
"158",14195,0.00156693025471786,"DMA1_pat"
"159",14196,0.000180025348498294,"DMA1_pat"
"160",14197,0.000770312110949955,"DMA1_pat"
"161",14198,4.2002688172043e-05,"DMA1_pat"
"162",14199,0.00253827245606409,"DMA1_pat"
"163",14200,0.000588547938771196,"DMA1_pat"
"164",14201,0.00168010752688172,"DMA1_pat"
"165",14202,2.4004993038552e-05,"DMA1_pat"
"166",14203,0.000714094096088115,"DMA1_pat"
"167",14204,0.00034882155013584,"DMA1_pat"
"168",14205,0.00185821553467614,"DMA1_pat"
"169",14206,0.00148208904537364,"DMA1_pat"
"170",14207,0.00124366226027897,"DMA1_pat"
"171",14208,0.00128682034252787,"DMA1_pat"
"172",14209,0.000182463399703242,"DMA1_pat"
"173",14210,3.68161401958619e-05,"DMA1_pat"
"174",14211,9.68054211035818e-05,"DMA1_pat"
"175",14212,0.000388907593863343,"DMA1_pat"
"176",14213,0,"DMA1_pat"
"177",14214,0.000709369455311144,"DMA1_pat"
"178",14215,0.000803785796924737,"DMA1_pat"
"179",14216,0.00105108781302626,"DMA1_pat"
"180",14217,0.000593734486747377,"DMA1_pat"
"181",14218,0.000871248789932236,"DMA1_pat"
"182",14219,0.000122034990943515,"DMA1_pat"
"183",14220,0.0013347335342782,"DMA1_pat"
"184",14221,0.000306818861963797,"DMA1_pat"
"185",14222,0,"DMA1_pat"
"186",14223,0.000909009800218997,"DMA1_pat"
"187",14224,0.00135029317820675,"DMA1_pat"
"188",14225,0.00106664745695481,"DMA1_pat"
"189",14226,0,"DMA1_pat"
"190",14228,0.000820882457007011,"DMA1_pat"
"191",14229,0.00143368633482185,"DMA1_pat"
"192",14230,0.000723291586954055,"DMA1_pat"
"193",14231,0.00119167278206289,"DMA1_pat"
"194",14232,0,"DMA1_pat"
"195",14233,0,"DMA1_pat"
"196",14235,0.00042002688172043,"DMA1_pat"
"197",14236,0.000216830386296342,"DMA1_pat"
"198",14239,0.000120417689667447,"DMA1_pat"
"199",14241,0.00788846943594931,"DMA1_pat"
"200",14245,0.000509729110403291,"DMA1_pat"
"201",14246,0.000504032258064516,"DMA1_pat"
"202",14248,0.00239977082041828,"DMA1_pat"
"203",14249,0.00164438773404534,"DMA1_pat"
"204",14250,0.000199640344907853,"DMA1_pat"
"205",14251,0,"DMA1_pat"
"206",14253,0.00134510663023056,"DMA1_pat"
"207",14254,7.24077035903429e-05,"DMA1_pat"
"208",14255,0.00173542853932011,"DMA1_pat"
"209",14256,0.000897653964858591,"DMA1_pat"
"210",14257,0.00200425962793809,"DMA1_pat"
"211",14258,0.000994459385962173,"DMA1_pat"
"212",14259,0.00281990529444306,"DMA1_pat"
"213",14260,0.0010845446559564,"DMA1_pat"
"214",14262,8.48261262729659e-05,"DMA1_pat"
"215",14263,0.000236456485103715,"DMA1_pat"
"216",14264,0.000511313104485917,"DMA1_pat"
"217",14265,0.00128754429812998,"DMA1_pat"
"218",14266,0.00177601691226595,"DMA1_pat"
"219",14267,0.00015763765673581,"DMA1_pat"
"220",14268,0.00189165188082972,"DMA1_pat"
"221",14269,0.00159598502349354,"DMA1_pat"
"222",14271,0,"DMA1_pat"
"223",14272,0.00113409677922685,"DMA1_pat"
"224",14273,0.0023943226158783,"DMA1_pat"
"225",14274,0.000408870330604758,"DMA1_pat"
"226",14275,0.00337832621950495,"DMA1_pat"
"227",14277,0,"DMA1_pat"
"228",14280,0.00134938502832984,"DMA1_pat"
"229",14282,0.00320438828695724,"DMA1_pat"
"230",14283,0.000504032258064516,"DMA1_pat"
"231",14285,0.000903823252242816,"DMA1_pat"
"232",14286,0.000362464549619844,"DMA1_pat"
"233",14287,0.000667366767139101,"DMA1_pat"
"234",14288,0.00199172720546494,"DMA1_pat"
"235",14289,0.00144366144791649,"DMA1_pat"
"236",14290,0.000988059363582425,"DMA1_pat"
"237",14291,0.00142554732199824,"DMA1_pat"
"238",14292,0.000244069981887029,"DMA1_pat"
"239",14293,0,"DMA1_pat"
"240",14295,0.000147264560783447,"DMA1_pat"
"241",14296,0,"DMA1_pat"
"242",14297,0.000528109846848144,"DMA1_pat"
"243",14298,0.00118147734011121,"DMA1_pat"
"244",14299,0.000755383086372946,"DMA1_pat"
"245",14300,4.2002688172043e-05,"DMA1_pat"
"246",14301,0.00128682034252787,"DMA1_pat"
"247",14302,0.00109309050119831,"DMA1_pat"
"248",14303,0.000866536096235994,"DMA1_pat"
"249",14304,0.00124035506198175,"DMA1_pat"
"250",14305,0.00113414517639024,"DMA1_pat"
"251",14306,0.00111406742809855,"DMA1_pat"
"252",14307,0.00372055488158267,"DMA1_pat"
"253",14308,0.0013347335342782,"DMA1_pat"
"254",14309,0.0052912480976674,"DMA1_pat"
"255",14310,0.000204030341536846,"DMA1_pat"
"256",14311,0,"DMA1_pat"
"257",14312,0.0013347335342782,"DMA1_pat"
"258",14313,0.000672553315115282,"DMA1_pat"
"259",14316,0.000481670758669788,"DMA1_pat"
"260",14317,0.000746185595507006,"DMA1_pat"
"261",14318,0,"DMA1_pat"
"262",14319,0,"DMA1_pat"
"263",14320,0.000360860344527654,"DMA1_pat"
"264",14322,0.00120846342135917,"DMA1_pat"
"265",14323,0.00141355236264611,"DMA1_pat"
"266",14324,0.002564205195945,"DMA1_pat"
"267",14325,0.000483286066159792,"DMA1_pat"
"268",14327,0.00108169679652076,"DMA1_pat"
"269",14328,0.000569777890872209,"DMA1_pat"
"270",14329,0.000126008064516129,"DMA1_pat"
"271",14330,0.0042458436359145,"DMA1_pat"
"272",14332,0.000432089874693936,"DMA1_pat"
"273",14334,0.000268086077323395,"DMA1_pat"
"274",14335,0.00211254872200489,"DMA1_pat"
"275",14337,0.00015763765673581,"DMA1_pat"
"276",14338,0.000394094141839524,"DMA1_pat"
"277",14339,0.00308430740230065,"DMA1_pat"
"278",14340,0.00119807280444264,"DMA1_pat"
"279",14341,0.00123617244644951,"DMA1_pat"
"280",14342,0.00148553660290596,"DMA1_pat"
"281",14343,0,"DMA1_pat"
"282",14344,0.00130818742556516,"DMA1_pat"
"283",14345,3.68161401958619e-05,"DMA1_pat"
"284",14346,0.000736322803917237,"DMA1_pat"
"285",14347,0.000548129244681778,"DMA1_pat"
"286",14348,0.000384424215928135,"DMA1_pat"
"287",14349,0.00152409173354568,"DMA1_pat"
"288",14350,0.000509729110403291,"DMA1_pat"
"289",14351,6.6007681210595e-05,"DMA1_pat"
"290",14352,0.0214026223629869,"DMA1_pat"
"291",14353,9.04053987238339e-05,"DMA1_pat"
"292",14357,0.000336021505376344,"DMA1_pat"
"293",14360,0.00130127824792597,"DMA1_pat"
"294",14361,8.48261262729659e-05,"DMA1_pat"
"295",14362,0.000630088719744029,"DMA1_pat"
"296",14363,3.68161401958619e-05,"DMA1_pat"
"297",14364,0.000588037634408602,"DMA1_pat"
"298",14366,0,"DMA1_pat"
"299",14367,0.00143246760203525,"DMA1_pat"
"300",14368,0,"DMA1_pat"
"301",14369,0.00015763765673581,"DMA1_pat"
"302",14370,0.000601695723862548,"DMA1_pat"
"303",14371,0.000903823252242816,"DMA1_pat"
"304",14372,0.00133992008225438,"DMA1_pat"
"305",14374,0,"DMA1_pat"
"306",14375,0,"DMA1_pat"
"307",14377,0,"DMA1_pat"
"308",14379,0.000862051299066296,"DMA1_pat"
"309",14380,0,"DMA1_pat"
"310",14381,0.000377691543186473,"DMA1_pat"
"311",14383,0.000903823252242816,"DMA1_pat"
"312",14384,0.000352091453667481,"DMA1_pat"
"313",14385,0.000377737946563793,"DMA1_pat"
"314",14387,0.00136218051096564,"DMA1_pat"
"315",14389,0,"DMA1_pat"
"316",14394,0.00157075545365361,"DMA1_pat"
"317",14395,0.00192321742700015,"DMA1_pat"
"318",14396,0.00219893221278456,"DMA1_pat"
"319",14398,0.00042002688172043,"DMA1_pat"
"320",14399,0.00226353838616825,"DMA1_pat"
"321",14400,0.00135019011373721,"DMA1_pat"
"322",14402,0.00188646533285354,"DMA1_pat"
"323",15406,0.000852140954996059,"DMA1_pat"
"324",15493,0.000241643033079896,"DMA1_pat"
"325",15494,0.000632837791066837,"DMA1_pat"
"326",15499,0.00173401422409391,"DMA1_pat"
"327",15500,0.00131509890141065,"DMA1_pat"
"328",15501,0.000783001735702868,"DMA1_pat"
"329",15503,0.00118228242551857,"DMA1_pat"
"330",15510,0.00199691375344112,"DMA1_pat"
"331",16305,4.8009986077104e-05,"DMA1_pat"
"332",16306,0.000313243082925237,"DMA1_pat"
"333",16381,0.000815372367280666,"DMA1_pat"
"334",16382,0.00127615059345243,"DMA1_pat"
"335",16383,0,"DMA1_pat"
"336",16384,0.00197367656668002,"DMA1_pat"
"337",16636,0.000432089874693936,"DMA1_pat"
"338",16638,0.000168010752688172,"DMA1_pat"
"339",16639,0.00147395003255003,"DMA1_pat"
"340",16640,0.00092456944414754,"DMA1_pat"
"341",16877,2.4004993038552e-05,"DMA1_pat"
"342",17001,0.0145631067961165,"DMA1_pat"
"343",17138,0.000868106994134741,"DMA1_pat"
"344",17139,0.000363309498130416,"DMA1_pat"
"345",17140,0.000132408086895877,"DMA1_pat"
"346",17141,0,"DMA1_pat"
"347",17142,2.4004993038552e-05,"DMA1_pat"
"348",17143,0.00139808366902955,"DMA1_pat"
"349",17144,0,"DMA1_pat"
"350",17145,0.00138710931840261,"DMA1_pat"
"351",17146,0.00193212365591398,"DMA1_pat"
"352",17147,0.000871248789932236,"DMA1_pat"
"353",17148,0,"DMA1_pat"
"354",17149,0.000410164090130662,"DMA1_pat"
"355",17150,0.00270633912821609,"DMA1_pat"
"356",17151,0,"DMA1_pat"
"357",17153,0,"DMA1_pat"
"358",17155,0.00154103224816357,"DMA1_pat"
"359",17157,0.00177601691226595,"DMA1_pat"
"360",17159,0.00114546628532271,"DMA1_pat"
"361",17160,0.0014694099935226,"DMA1_pat"
"362",17162,0.000960199721542081,"DMA1_pat"
"363",17163,0.000867007112046954,"DMA1_pat"
"364",17164,0.00210852681406073,"DMA1_pat"
"365",17165,0.0107735974962171,"DMA1_pat"
"366",17166,0.000410048504028819,"DMA1_pat"
"367",17167,0.000357278001643663,"DMA1_pat"
"368",17168,0,"DMA1_pat"
"369",17169,0.00462499108108511,"DMA1_pat"
"370",17170,0.00716244871617572,"DMA1_pat"
"371",17172,0.000813062423809865,"DMA1_pat"
"372",17173,0.000236456485103715,"DMA1_pat"
"373",17175,0.00121909856571443,"DMA1_pat"
"374",17176,0.000122034990943515,"DMA1_pat"
"375",17177,0.000462910393934126,"DMA1_pat"
"376",17178,0.000756096784260158,"DMA1_pat"
"377",17179,0.000132408086895877,"DMA1_pat"
"378",17180,0.00105739786712035,"DMA1_pat"
"379",17181,0.000556918346551515,"DMA1_pat"
"380",17182,0.00211229419590243,"DMA1_pat"
"381",17183,0.00109206989247312,"DMA1_pat"
"382",17184,0.00168112813560691,"DMA1_pat"
"383",17185,0.000342053001863097,"DMA1_pat"
"384",17364,0.000552434968616307,"DMA1_pat"
"385",17365,0.00113294736650819,"DMA1_pat"
"386",17366,0.00012002496519276,"DMA1_pat"
"387",17367,0,"DMA1_pat"
"388",17432,0.000882129047357979,"DMA1_pat"
"389",17433,3.68161401958619e-05,"DMA1_pat"
"390",17434,0,"DMA1_pat"
"391",17437,0.000554471186734818,"DMA1_pat"
"392",17438,0,"DMA1_pat"
"393",17439,0.00157119001938192,"DMA1_pat"
"394",17440,0.00209180253010016,"DMA1_pat"
"395",17441,0.00249057291555328,"DMA1_pat"
"396",17442,0.00433855766192916,"DMA1_pat"
"397",17443,9.60199721542081e-05,"DMA1_pat"
"398",17444,0.000273272625299577,"DMA1_pat"
"399",17445,0.00178890790733743,"DMA1_pat"
"400",17446,0.00134408602150538,"DMA1_pat"
"401",17447,6.08211332344139e-05,"DMA1_pat"
"402",17611,0.00110422967977339,"DMA1_pat"
"403",17767,0.000339304505091864,"DMA1_pat"
"404",17768,0,"DMA1_pat"
"405",17769,0.000630550626943239,"DMA1_pat"
"406",17773,0.000122034990943515,"DMA1_pat"
"407",17774,0.000809955084308961,"DMA1_pat"
"408",17775,0.000709369455311144,"DMA1_pat"
"409",17776,0.00049291100792835,"DMA1_pat"
"410",17910,0.0020021003014173,"DMA1_pat"
"411",17911,0.00183927609670531,"DMA1_pat"
"412",18135,0.000326018929103041,"DMA1_pat"
"413",18136,0.000258416151412006,"DMA1_pat"
"414",18236,0.000451656473940111,"DMA1_pat"
"415",18237,0.000916854031997835,"DMA1_pat"
"416",18365,0.000509729110403291,"DMA1_pat"
"417",18366,0.00170238463187423,"DMA1_pat"
"418",18833,0.000493659162112154,"DMA1_pat"
"419",18834,0.000210013440860215,"DMA1_pat"
"420",18835,0.000192432668783103,"DMA1_pat"
"421",18837,0.000290416263310745,"DMA1_pat"
"422",18856,0.000396070285845262,"DMA1_pat"
"423",19134,0.000243284532937656,"DMA1_pat"
"424",19136,7.20149791156561e-05,"DMA1_pat"
"425",19137,0.00042002688172043,"DMA1_pat"
"426",19141,0.00116247013865035,"DMA1_pat"
"427",19142,0.000738099089126667,"DMA1_pat"
"428",19143,0,"DMA1_pat"
"429",19169,0.000217615835245716,"DMA1_pat"
"430",19180,0.000542432392343003,"DMA1_pat"
"431",19261,0.00237454125057835,"DMA1_pat"
"432",19694,0.00198807157057654,"DMA1_pat"
"433",19718,0.00321082577117938,"DMA1_pat"
"434",19737,0.000816169763310769,"DMA1_pat"
"435",19775,0.00121087284920214,"DMA1_pat"
"436",19776,0.000998201724539264,"DMA1_pat"
"437",20151,0.000576119832925248,"DMA1_pat"
"438",20175,0.00153956042716224,"DMA1_pat"
"439",20278,0.000813648588514505,"DMA1_pat"
"440",21628,0.000642079116972459,"DMA1_pat"
"441",21629,0.000788188283679049,"DMA1_pat"
"442",21630,0.000222813485619711,"DMA1_pat"
"443",21631,0.000339304505091864,"DMA1_pat"
"444",21844,0.000698996359358782,"DMA1_pat"
"445",21845,0.000578035058135299,"DMA1_pat"
"446",21846,0.000336069902539728,"DMA1_pat"
"447",22307,0.000602873897286608,"DMA1_pat"
"448",22308,0,"DMA1_pat"
"449",22652,7.36322803917237e-05,"DMA1_pat"
"450",22653,0.000788188283679049,"DMA1_pat"
"451",22654,0.00142554732199824,"DMA1_pat"
"452",22655,0.00157119001938192,"DMA1_pat"
"453",22785,0.00173172136437911,"DMA1_pat"
"454",22974,0.00106664745695481,"DMA1_pat"
"455",22976,0.00058905824313379,"DMA1_pat"
"456",22977,0.0038604610275836,"DMA1_pat"
"457",22978,0.000192432668783103,"DMA1_pat"
"458",23264,0,"DMA1_pat"
"459",23452,0.000403624283067379,"DMA1_pat"
"460",23454,0,"DMA1_pat"
"461",23734,0.000681843612735863,"DMA1_pat"
"462",24150,0.00568193498943468,"DMA1_pat"
"463",24153,0.0012559147059103,"DMA1_pat"
"464",24473,0.000511313104485917,"DMA1_pat"
"465",24474,0.00153956042716224,"DMA1_pat"
"466",24481,0,"DMA1_pat"
"467",24582,0.00348818575560909,"DMA1_pat"
"468",24583,0.000340875402990611,"DMA1_pat"
"469",24584,0.00173401422409391,"DMA1_pat"
"470",24585,0.0028983790725245,"DMA1_pat"
"471",24586,0.000246033029708889,"DMA1_pat"
"472",24587,0.000709369455311144,"DMA1_pat"
"473",24588,0.00146592814677051,"DMA1_pat"
"474",24589,0.00197972128105841,"DMA1_pat"
"475",24590,0.000811445122533797,"DMA1_pat"
"476",24591,0.000494029681791213,"DMA1_pat"
"477",24592,0,"DMA1_pat"
"478",24593,0.000434053497067371,"DMA1_pat"
"479",24594,0.000313243082925237,"DMA1_pat"
"480",24595,0.0016138326762286,"DMA1_pat"
"481",24596,0.0013916836466498,"DMA1_pat"
"482",24597,0.000310088765495438,"DMA1_pat"
"483",24598,0.00110933509794432,"DMA1_pat"
"484",24633,0.000796877463968459,"DMA1_pat"
"485",24755,0.000207253841691167,"DMA1_pat"
"486",24756,0,"DMA1_pat"
"487",24757,0,"DMA1_pat"
"488",24758,0.000788188283679049,"DMA1_pat"
"489",24759,0,"DMA1_pat"
"490",24760,0.000788188283679049,"DMA1_pat"
"491",24761,0.000843709276621502,"DMA1_pat"
"492",24780,0.0025906482401885,"DMA1_pat"
"493",24853,0.000207253841691167,"DMA1_pat"
"494",24854,0.000958709683317245,"DMA1_pat"
"495",24855,0.000340875402990611,"DMA1_pat"
"496",24902,0.000650491158889026,"DMA1_pat"
"497",24903,0.000714556003287325,"DMA1_pat"
"498",25040,0.00528604804862581,"DMA1_pat"
"499",25182,0.000492066059417778,"DMA1_pat"
"500",25183,0.00121391201773825,"DMA1_pat"
"501",25184,0.00175864808340929,"DMA1_pat"
"502",25190,0.00262176752804559,"DMA1_pat"
"503",25192,0.00120574779457322,"DMA1_pat"
"504",25393,0.00181852990480059,"DMA1_pat"
"505",25396,0,"DMA1_pat"
"506",25617,0.000730153516533013,"DMA1_pat"
"507",25618,0.000108010369382638,"DMA1_pat"
"508",25619,0.00108015209098976,"DMA1_pat"
"509",25620,0.000147264560783447,"DMA1_pat"
"510",25621,3.68161401958619e-05,"DMA1_pat"
"511",25622,0.00112215477916181,"DMA1_pat"
"512",25625,0.00615836562972094,"DMA1_pat"
"513",25743,0.00110422967977339,"DMA1_pat"
"514",25993,0.00226240404778387,"DMA1_pat"
"515",26312,0.000294529121566895,"DMA1_pat"
"516",26507,0.000216830386296342,"DMA1_pat"
"517",26632,0.00224093264811937,"DMA1_pat"
"518",26853,0,"DMA1_pat"
"519",27033,0,"DMA1_pat"
"520",27145,0,"DMA1_pat"
"521",27146,0.00141088371378905,"DMA1_pat"
"522",27147,0.000998712028901858,"DMA1_pat"
"523",27186,0.00170423351282873,"DMA1_pat"
"524",27255,0.000556918346551515,"DMA1_pat"
"525",27573,0.00235419175508478,"DMA1_pat"
"526",27574,0.00255332179563004,"DMA1_pat"
"527",27901,0.000723243189790671,"DMA1_pat"
"528",27903,0.000329288832634682,"DMA1_pat"
"529",27904,0.00101252967684074,"DMA1_pat"
"530",28224,6.08211332344139e-05,"DMA1_pat"
"531",28260,0.0015763765673581,"DMA1_pat"
"532",28261,0.00248233239483803,"DMA1_pat"
"533",28515,0.00328019444357701,"DMA1_pat"
"534",28724,0.000430910282035386,"DMA1_pat"
"535",28853,0.00460946771560691,"DMA1_pat"
"536",28854,0.00702839427623289,"DMA1_pat"
"537",28855,0.0047573699763004,"DMA1_pat"
"538",28856,0,"DMA1_pat"
"539",28857,0.0236114749803511,"DMA1_pat"
"540",28858,0.0106213816194667,"DMA1_pat"
"541",28861,0.00670696085920999,"DMA1_pat"
"542",28862,0.102044547264575,"DMA1_pat"
"543",28863,0.00305904516754801,"DMA1_pat"
"544",28864,0,"DMA1_pat"
"545",28866,0.0031710259964301,"DMA1_pat"
"546",28867,0,"DMA1_pat"
"547",28868,0.00188142211992486,"DMA1_pat"
"548",28875,0.000930139033435084,"DMA1_pat"
"549",28969,0,"DMA1_pat"
"550",28970,0.00198807157057654,"DMA1_pat"
"551",28971,0.00720461095100865,"DMA1_pat"
"552",28973,0.00189131257092422,"DMA1_pat"
"553",28974,0.00889127781323837,"DMA1_pat"
"554",28975,0.00243243811204976,"DMA1_pat"
"555",28976,0.00576535072411741,"DMA1_pat"
"556",28977,0.00306429881357835,"DMA1_pat"
"557",28978,0.001529522583774,"DMA1_pat"
"558",28980,0,"DMA1_pat"
"559",28982,0.0122571952543134,"DMA1_pat"
"560",28983,0.0140567885524658,"DMA1_pat"
"561",28984,0.0129716236384366,"DMA1_pat"
"562",28985,0.00111782680986833,"DMA1_pat"
"563",28986,0.0341591629023198,"DMA1_pat"
"564",28987,0.015820091600318,"DMA1_pat"
"565",28988,0.00180271217735195,"DMA1_pat"
"566",28989,0.0218118816821987,"DMA1_pat"
"567",28990,0.0099924347497163,"DMA1_pat"
"568",28991,0,"DMA1_pat"
"569",28992,0.00306429881357835,"DMA1_pat"
"570",28993,0.00555355832172441,"DMA1_pat"
"571",28994,0.020786441361239,"DMA1_pat"
"572",28995,0.0190747321003889,"DMA1_pat"
"573",29111,0.000436096830011567,"DMA1_pat"
"574",29121,0.044677496667116,"DMA1_pat"
"575",29122,0.0595257089104501,"DMA1_pat"
"576",29123,0.0128278638120785,"DMA1_pat"
"577",29124,0.0210671205816837,"DMA1_pat"
